2024-12-12 18:56:52, TransactionID: 12345, Montant: 1131.49, Devise: TND, Utilisateur: user090, Type: Virement, Statut: Échoué
2024-12-12 04:11:52, TransactionID: 12346, Montant: 3023.55, Devise: EUR, Utilisateur: user053, Type: Dépôt, Statut: Échoué
2024-12-12 05:54:52, TransactionID: 12347, Montant: 3492.59, Devise: EUR, Utilisateur: user078, Type: Achat, Statut: Échoué
2024-12-12 08:16:52, TransactionID: 12348, Montant: 3812.57, Devise: TND, Utilisateur: user083, Type: Dépôt, Statut: En attente
2024-12-12 18:49:52, TransactionID: 12349, Montant: 4567.35, Devise: USD, Utilisateur: user029, Type: Dépôt, Statut: Réussi
2024-12-12 06:04:52, TransactionID: 12350, Montant: 792.16, Devise: TND, Utilisateur: user044, Type: Achat, Statut: Échoué
2024-12-12 15:29:52, TransactionID: 12351, Montant: 2204.46, Devise: USD, Utilisateur: user052, Type: Achat, Statut: Réussi
2024-12-12 12:53:52, TransactionID: 12352, Montant: 1963.61, Devise: EUR, Utilisateur: user019, Type: Virement, Statut: Échoué
2024-12-12 18:50:52, TransactionID: 12353, Montant: 1834.02, Devise: USD, Utilisateur: user009, Type: Achat, Statut: Échoué
2024-12-12 03:00:52, TransactionID: 12354, Montant: 2501.75, Devise: USD, Utilisateur: user064, Type: Dépôt, Statut: En attente
2024-12-12 06:39:52, TransactionID: 12355, Montant: 1985.35, Devise: TND, Utilisateur: user031, Type: Dépôt, Statut: En attente
2024-12-12 17:37:52, TransactionID: 12356, Montant: 2955.27, Devise: TND, Utilisateur: user039, Type: Achat, Statut: Échoué
2024-12-12 07:37:52, TransactionID: 12357, Montant: 2773.91, Devise: TND, Utilisateur: user031, Type: Dépôt, Statut: Échoué
2024-12-12 09:36:52, TransactionID: 12358, Montant: 2833.95, Devise: TND, Utilisateur: user056, Type: Retrait, Statut: Réussi
2024-12-12 12:01:52, TransactionID: 12359, Montant: 1709.43, Devise: GBP, Utilisateur: user073, Type: Achat, Statut: Échoué
2024-12-12 08:39:52, TransactionID: 12360, Montant: 88.38, Devise: TND, Utilisateur: user099, Type: Achat, Statut: Réussi
2024-12-12 05:40:52, TransactionID: 12361, Montant: 609.2, Devise: GBP, Utilisateur: user089, Type: Virement, Statut: En attente
2024-12-12 17:24:52, TransactionID: 12362, Montant: 699.29, Devise: EUR, Utilisateur: user040, Type: Retrait, Statut: Réussi
2024-12-12 04:16:52, TransactionID: 12363, Montant: 4089.24, Devise: GBP, Utilisateur: user097, Type: Retrait, Statut: En attente
2024-12-12 05:48:52, TransactionID: 12364, Montant: 1684.32, Devise: EUR, Utilisateur: user098, Type: Retrait, Statut: Échoué
2024-12-12 15:11:52, TransactionID: 12365, Montant: 4250.97, Devise: GBP, Utilisateur: user098, Type: Retrait, Statut: En attente
2024-12-12 12:54:52, TransactionID: 12366, Montant: 441.38, Devise: USD, Utilisateur: user003, Type: Retrait, Statut: Échoué
2024-12-12 17:44:52, TransactionID: 12367, Montant: 4636.05, Devise: GBP, Utilisateur: user001, Type: Virement, Statut: Échoué
2024-12-12 12:27:52, TransactionID: 12368, Montant: 4161.64, Devise: GBP, Utilisateur: user033, Type: Retrait, Statut: Échoué
2024-12-12 10:48:52, TransactionID: 12369, Montant: 3259.25, Devise: GBP, Utilisateur: user087, Type: Achat, Statut: En attente
2024-12-12 13:40:52, TransactionID: 12370, Montant: 682.52, Devise: USD, Utilisateur: user009, Type: Retrait, Statut: Réussi
2024-12-12 05:45:52, TransactionID: 12371, Montant: 4273.99, Devise: TND, Utilisateur: user017, Type: Dépôt, Statut: En attente
2024-12-12 18:26:52, TransactionID: 12372, Montant: 3950.29, Devise: GBP, Utilisateur: user005, Type: Virement, Statut: Échoué
